display_name,year,type,works_count,cited_by_count,city,geometry,region_shp
Institute of Professional Evaluation,2024,education,1,11,Moscow,"c(37.540756, 55.775993)",Moscow City
Institute of Professional Innovations,2012,education,6,10,Moscow,"c(37.771164, 55.72162)",Moscow City
Institute of Professional Innovations,2013,education,3,12,Moscow,"c(37.771164, 55.72162)",Moscow City
Institute of Professional Innovations,2014,education,3,16,Moscow,"c(37.771164, 55.72162)",Moscow City
Institute of Professional Innovations,2015,education,5,22,Moscow,"c(37.771164, 55.72162)",Moscow City
Institute of Professional Innovations,2016,education,7,49,Moscow,"c(37.771164, 55.72162)",Moscow City
Institute of Professional Innovations,2017,education,3,42,Moscow,"c(37.771164, 55.72162)",Moscow City
Institute of Professional Innovations,2018,education,0,75,Moscow,"c(37.771164, 55.72162)",Moscow City
Institute of Professional Innovations,2019,education,8,40,Moscow,"c(37.771164, 55.72162)",Moscow City
Institute of Professional Innovations,2020,education,4,44,Moscow,"c(37.771164, 55.72162)",Moscow City
Institute of Professional Innovations,2021,education,2,60,Moscow,"c(37.771164, 55.72162)",Moscow City
Institute of Professional Innovations,2022,education,4,10,Moscow,"c(37.771164, 55.72162)",Moscow City
Institute of Professional Innovations,2023,education,2,23,Moscow,"c(37.771164, 55.72162)",Moscow City
Institute of Professional Innovations,2024,education,0,17,Moscow,"c(37.771164, 55.72162)",Moscow City
Institute of Protein Research,2012,facility,52,2560,Pushchino,"c(37.625496, 54.83957)",Moskva
Institute of Protein Research,2013,facility,64,2527,Pushchino,"c(37.625496, 54.83957)",Moskva
Institute of Protein Research,2014,facility,51,2413,Pushchino,"c(37.625496, 54.83957)",Moskva
Institute of Protein Research,2015,facility,65,2349,Pushchino,"c(37.625496, 54.83957)",Moskva
Institute of Protein Research,2016,facility,67,2604,Pushchino,"c(37.625496, 54.83957)",Moskva
Institute of Protein Research,2017,facility,53,2220,Pushchino,"c(37.625496, 54.83957)",Moskva
Institute of Protein Research,2018,facility,75,2744,Pushchino,"c(37.625496, 54.83957)",Moskva
Institute of Protein Research,2019,facility,72,2433,Pushchino,"c(37.625496, 54.83957)",Moskva
Institute of Protein Research,2020,facility,72,2951,Pushchino,"c(37.625496, 54.83957)",Moskva
Institute of Protein Research,2021,facility,67,3268,Pushchino,"c(37.625496, 54.83957)",Moskva
Institute of Protein Research,2022,facility,82,3267,Pushchino,"c(37.625496, 54.83957)",Moskva
Institute of Protein Research,2023,facility,68,3182,Pushchino,"c(37.625496, 54.83957)",Moskva
Institute of Protein Research,2024,facility,18,1160,Pushchino,"c(37.625496, 54.83957)",Moskva
Institute of Psychology,2012,facility,48,963,Moscow,"c(37.64736, 55.819366)",Moscow City
Institute of Psychology,2013,facility,62,1121,Moscow,"c(37.64736, 55.819366)",Moscow City
Institute of Psychology,2014,facility,53,1089,Moscow,"c(37.64736, 55.819366)",Moscow City
Institute of Psychology,2015,facility,93,1164,Moscow,"c(37.64736, 55.819366)",Moscow City
Institute of Psychology,2016,facility,101,1160,Moscow,"c(37.64736, 55.819366)",Moscow City
Institute of Psychology,2017,facility,86,1191,Moscow,"c(37.64736, 55.819366)",Moscow City
Institute of Psychology,2018,facility,103,1404,Moscow,"c(37.64736, 55.819366)",Moscow City
Institute of Psychology,2019,facility,128,1417,Moscow,"c(37.64736, 55.819366)",Moscow City
Institute of Psychology,2020,facility,158,1787,Moscow,"c(37.64736, 55.819366)",Moscow City
Institute of Psychology,2021,facility,238,1955,Moscow,"c(37.64736, 55.819366)",Moscow City
Institute of Psychology,2022,facility,197,2207,Moscow,"c(37.64736, 55.819366)",Moscow City
Institute of Psychology,2023,facility,143,2204,Moscow,"c(37.64736, 55.819366)",Moscow City
Institute of Psychology,2024,facility,20,840,Moscow,"c(37.64736, 55.819366)",Moscow City
Institute of Psychology and Pedagogy,2012,education,2,0,Moscow,"c(37.704163, 55.80931)",Moscow City
Institute of Psychology and Pedagogy,2013,education,4,2,Moscow,"c(37.704163, 55.80931)",Moscow City
Institute of Psychology and Pedagogy,2014,education,4,2,Moscow,"c(37.704163, 55.80931)",Moscow City
Institute of Psychology and Pedagogy,2015,education,6,2,Moscow,"c(37.704163, 55.80931)",Moscow City
Institute of Psychology and Pedagogy,2016,education,6,4,Moscow,"c(37.704163, 55.80931)",Moscow City
Institute of Psychology and Pedagogy,2017,education,11,30,Moscow,"c(37.704163, 55.80931)",Moscow City
Institute of Psychology and Pedagogy,2018,education,10,21,Moscow,"c(37.704163, 55.80931)",Moscow City
Institute of Psychology and Pedagogy,2019,education,21,32,Moscow,"c(37.704163, 55.80931)",Moscow City
Institute of Psychology and Pedagogy,2020,education,43,77,Moscow,"c(37.704163, 55.80931)",Moscow City
Institute of Psychology and Pedagogy,2021,education,62,73,Moscow,"c(37.704163, 55.80931)",Moscow City
Institute of Psychology and Pedagogy,2022,education,21,75,Moscow,"c(37.704163, 55.80931)",Moscow City
Institute of Psychology and Pedagogy,2023,education,9,69,Moscow,"c(37.704163, 55.80931)",Moscow City
Institute of Psychology and Pedagogy,2024,education,2,17,Moscow,"c(37.704163, 55.80931)",Moscow City
Institute of Quantum Materials Science,2012,facility,5,62,Yekaterinburg,"c(60.789436, 56.836906)",Sverdlovsk
Institute of Quantum Materials Science,2013,facility,7,78,Yekaterinburg,"c(60.789436, 56.836906)",Sverdlovsk
Institute of Quantum Materials Science,2014,facility,5,116,Yekaterinburg,"c(60.789436, 56.836906)",Sverdlovsk
Institute of Quantum Materials Science,2015,facility,7,121,Yekaterinburg,"c(60.789436, 56.836906)",Sverdlovsk
Institute of Quantum Materials Science,2016,facility,5,191,Yekaterinburg,"c(60.789436, 56.836906)",Sverdlovsk
Institute of Quantum Materials Science,2017,facility,3,211,Yekaterinburg,"c(60.789436, 56.836906)",Sverdlovsk
Institute of Quantum Materials Science,2018,facility,5,198,Yekaterinburg,"c(60.789436, 56.836906)",Sverdlovsk
Institute of Quantum Materials Science,2019,facility,5,193,Yekaterinburg,"c(60.789436, 56.836906)",Sverdlovsk
Institute of Quantum Materials Science,2020,facility,1,222,Yekaterinburg,"c(60.789436, 56.836906)",Sverdlovsk
Institute of Quantum Materials Science,2021,facility,0,217,Yekaterinburg,"c(60.789436, 56.836906)",Sverdlovsk
Institute of Quantum Materials Science,2022,facility,0,178,Yekaterinburg,"c(60.789436, 56.836906)",Sverdlovsk
Institute of Quantum Materials Science,2023,facility,0,180,Yekaterinburg,"c(60.789436, 56.836906)",Sverdlovsk
Institute of Quantum Materials Science,2024,facility,0,79,Yekaterinburg,"c(60.789436, 56.836906)",Sverdlovsk
Institute of Radio-Engineering and Electronics,2012,facility,309,2542,Moscow,"c(37.611294, 55.756294)",Moscow City
Institute of Radio-Engineering and Electronics,2013,facility,354,2835,Moscow,"c(37.611294, 55.756294)",Moscow City
Institute of Radio-Engineering and Electronics,2014,facility,313,2805,Moscow,"c(37.611294, 55.756294)",Moscow City
Institute of Radio-Engineering and Electronics,2015,facility,364,3391,Moscow,"c(37.611294, 55.756294)",Moscow City
Institute of Radio-Engineering and Electronics,2016,facility,399,3301,Moscow,"c(37.611294, 55.756294)",Moscow City
Institute of Radio-Engineering and Electronics,2017,facility,476,3603,Moscow,"c(37.611294, 55.756294)",Moscow City
Institute of Radio-Engineering and Electronics,2018,facility,603,4314,Moscow,"c(37.611294, 55.756294)",Moscow City
Institute of Radio-Engineering and Electronics,2019,facility,671,5164,Moscow,"c(37.611294, 55.756294)",Moscow City
Institute of Radio-Engineering and Electronics,2020,facility,645,5500,Moscow,"c(37.611294, 55.756294)",Moscow City
Institute of Radio-Engineering and Electronics,2021,facility,632,6435,Moscow,"c(37.611294, 55.756294)",Moscow City
Institute of Radio-Engineering and Electronics,2022,facility,616,6510,Moscow,"c(37.611294, 55.756294)",Moscow City
Institute of Radio-Engineering and Electronics,2023,facility,541,6919,Moscow,"c(37.611294, 55.756294)",Moscow City
Institute of Radio-Engineering and Electronics,2024,facility,76,1886,Moscow,"c(37.611294, 55.756294)",Moscow City
Institute of Reactor Materials (Russia),2012,company,41,60,Zarechnyy,"c(61.32267, 56.80625)",Sverdlovsk
Institute of Reactor Materials (Russia),2013,company,35,65,Zarechnyy,"c(61.32267, 56.80625)",Sverdlovsk
Institute of Reactor Materials (Russia),2014,company,43,51,Zarechnyy,"c(61.32267, 56.80625)",Sverdlovsk
Institute of Reactor Materials (Russia),2015,company,31,51,Zarechnyy,"c(61.32267, 56.80625)",Sverdlovsk
Institute of Reactor Materials (Russia),2016,company,31,67,Zarechnyy,"c(61.32267, 56.80625)",Sverdlovsk
Institute of Reactor Materials (Russia),2017,company,39,79,Zarechnyy,"c(61.32267, 56.80625)",Sverdlovsk
Institute of Reactor Materials (Russia),2018,company,31,61,Zarechnyy,"c(61.32267, 56.80625)",Sverdlovsk
Institute of Reactor Materials (Russia),2019,company,28,91,Zarechnyy,"c(61.32267, 56.80625)",Sverdlovsk
Institute of Reactor Materials (Russia),2020,company,22,116,Zarechnyy,"c(61.32267, 56.80625)",Sverdlovsk
Institute of Reactor Materials (Russia),2021,company,13,112,Zarechnyy,"c(61.32267, 56.80625)",Sverdlovsk
